Altium Designer Pick and Place Locations
C:\Users\Lingke\Desktop\Personal\Altium\WPT Round 1 RX\Project Outputs for WPT Round 1 RX\Pick Place\Pick Place for Layout.csv

========================================================================================================================
File Design Information:

Date:       13/01/21
Time:       22:25
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"M4","BSZ070N08LS5ATMA1","TopLayer","TRANS_BSZ037N06LS5ATMA1","13.7550","27.1250","0","Further performance improvements with best-in-class OptiMOSâ„¢ 5 60V power MOSFET in high performance PQFN 3.3x3.3mm package"
"M3","BSZ070N08LS5ATMA1","TopLayer","TRANS_BSZ037N06LS5ATMA1","25.7800","48.3250","180","Further performance improvements with best-in-class OptiMOSâ„¢ 5 60V power MOSFET in high performance PQFN 3.3x3.3mm package"
"M2","BSZ070N08LS5ATMA1","TopLayer","TRANS_BSZ037N06LS5ATMA1","22.8050","27.1750","0","Further performance improvements with best-in-class OptiMOSâ„¢ 5 60V power MOSFET in high performance PQFN 3.3x3.3mm package"
"M1","BSZ070N08LS5ATMA1","TopLayer","TRANS_BSZ037N06LS5ATMA1","15.7550","48.3250","180","Further performance improvements with best-in-class OptiMOSâ„¢ 5 60V power MOSFET in high performance PQFN 3.3x3.3mm package"
"R18","CRCW0805120KFKEA","TopLayer","FP-CRCW0805-e3-MFG","45.8000","37.8958","180","RES Thick Film, 120kO, 1%, 0.125W, 100ppm/°C, 0805"
"R17","CRCW08051M00FKEA","TopLayer","FP-CRCW0805-e3-MFG","45.8000","40.0000","0","RES Thick Film, 1MO, 1%, 0.125W, 100ppm/°C, 0805"
"P4","61300211121","TopLayer","61300211121","41.7000","35.1465","360","THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 2 pins"
"C23","885012207092","TopLayer","CAPC2012X90N","42.4308","37.9000","0","Capacitor"
"C22","C1206C471J1GAC","TopLayer","FP-C1206C-EB-IPC_A","13.0324","33.5000","90","C1206 470 pF C0G 5.00% 100 V"
"C21","C1206C471J1GAC","TopLayer","FP-C1206C-EB-IPC_A","17.0000","33.5000","90","C1206 470 pF C0G 5.00% 100 V"
"C20","C1206C471J1GAC","TopLayer","FP-C1206C-EB-IPC_A","21.5000","33.5000","90","C1206 470 pF C0G 5.00% 100 V"
"C19","C1206C471J1GAC","TopLayer","FP-C1206C-EB-IPC_A","25.5000","33.5000","90","C1206 470 pF C0G 5.00% 100 V"
"L1","742792901","TopLayer","WE-PF","61.5000","53.1293","270","SMD EMI Suppression Power Ferrite WE-PF, Z = 2900 Ohm"
"CE4","860160578032","TopLayer","CAPPRD500W62D1300H2650","56.2920","68.0000","90","Capacitor 1000uF Input Filtering"
"CE3","860160578032","TopLayer","CAPPRD500W62D1300H2650","41.9878","68.0000","90","Capacitor 1000uF Input Filtering"
"CE2","860160578032","TopLayer","CAPPRD500W62D1300H2650","27.6835","68.0000","90","Capacitor 1000uF Input Filtering"
"CE1","860160578032","TopLayer","CAPPRD500W62D1300H2650","13.3793","68.0000","90","Capacitor 1000uF Input Filtering"
"C18","885012209048","TopLayer","CAPC3225X280N","53.5358","38.0000","90","Capacitor
Output Filtering"
"C17","885012209048","TopLayer","CAPC3225X280N","50.1115","38.0000","90","Capacitor
Output Filtering"
"R10","CRCW08051K00FKEA","TopLayer","RESC2013X50X30NL20T20","21.5000","52.9000","90",""
"R2","CRCW08051K00FKEA","TopLayer","RESC2013X50X30NL20T20","11.5000","54.9000","90",""
"R1","CRCW08051K00FKEA","TopLayer","RESC2013X50X30NL20T20","28.1750","20.0000","90",""
"TP8","TP","BottomLayer","TEST_POINT","29.5000","54.8500","180","Test Point 1mm by 1mm"
"TP7","TP","BottomLayer","TEST_POINT","10.4000","14.7000","180","Test Point 1mm by 1mm"
"TP6","TP","BottomLayer","TEST_POINT","27.5000","54.0000","180","Test Point 1mm by 1mm"
