Altium Designer Pick and Place Locations
C:\Users\Lingke\Desktop\Personal\Altium\WPT Round 1\Project Outputs for WPT Round 1\Pick Place\Pick Place for Layout.csv

========================================================================================================================
File Design Information:

Date:       13/01/21
Time:       22:23
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"TP9","TP","BottomLayer","Test_Point","50.0000","53.2500","180","Test Point 1mm by 1mm"
"TP8","TP","BottomLayer","Test_Point","50.0000","37.0000","180","Test Point 1mm by 1mm"
"TP7","TP","BottomLayer","Test_Point","43.0000","33.0000","180","Test Point 1mm by 1mm"
"TP6","TP","BottomLayer","Test_Point","60.7500","62.7500","180","Test Point 1mm by 1mm"
"TP5","TP","BottomLayer","Test_Point","57.5000","47.2500","180","Test Point 1mm by 1mm"
"TP4","TP","BottomLayer","Test_Point","45.0000","45.5000","180","Test Point 1mm by 1mm"
"TP3","TP","BottomLayer","Test_Point","43.0000","30.2500","180","Test Point 1mm by 1mm"
"TP2","TP","BottomLayer","Test_Point","54.6957","51.5034","180","Test Point 1mm by 1mm"
"TP1","TP","BottomLayer","Test_Point","53.7500","34.0000","180","Test Point 1mm by 1mm"
"P3","61300621121","TopLayer","61300621121","36.5200","42.2900","270","THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Dual Row, 6 pins"
"M4","BSC040N10NS5ATMA1","TopLayer","FP-PG-TDSON-8-MFG","59.0750","59.0000","270","MOSFET N-CH 100V 100A 8TDSON"
"M3","BSC040N10NS5ATMA1","TopLayer","FP-PG-TDSON-8-MFG","59.0750","51.0000","270","MOSFET N-CH 100V 100A 8TDSON"
"M2","BSC040N10NS5ATMA1","TopLayer","FP-PG-TDSON-8-MFG","59.0750","43.5000","270","MOSFET N-CH 100V 100A 8TDSON"
"M1","BSC040N10NS5ATMA1","TopLayer","FP-PG-TDSON-8-MFG","59.0750","35.0000","270","MOSFET N-CH 100V 100A 8TDSON"
"R12","CRCW120610R0FKEA","TopLayer","FP-CRCW1206-E3-IPC_A","53.5000","58.1352","180","RES Thick Film, 10O, 1%, 0.25W, 100ppm/°C, 1206"
"R11","CRCW120610R0FKEA","TopLayer","FP-CRCW1206-E3-IPC_A","53.5000","41.3543","360","RES Thick Film, 10O, 1%, 0.25W, 100ppm/°C, 1206"
"R10","CRCW080510K0FKEB","TopLayer","RESC2013X50X30ML20T20","46.2958","30.5375","360",""
"R9","CRCW080510K0FKEB","TopLayer","RESC2013X50X30ML20T20","46.2500","32.8417","360",""
"R8","CRCW080510K0FKEB","TopLayer","RESC2013X50X30ML20T20","46.0624","47.3183","360",""
"R7","CRCW080510K0FKEB","TopLayer","RESC2013X50X30ML20T20","46.0000","49.6226","360",""
"R6","CRCW12064R70FKEA","TopLayer","FP-CRCW1206-E3-IPC_A","53.5000","60.5852","180","RES Thick Film, 4.7O, 1%, 0.25W, 100ppm/°C, 1206"
"R5","CRCW12064R70FKEA","TopLayer","FP-CRCW1206-E3-IPC_A","53.5000","43.7060","360","RES Thick Film, 4.7O, 1%, 0.25W, 100ppm/°C, 1206"
"R4","CRCW120610R0FKEA","TopLayer","FP-CRCW1206-E3-IPC_A","53.5000","49.2180","180","RES Thick Film, 10O, 1%, 0.25W, 100ppm/°C, 1206"
"R3","CRCW120610R0FKEA","TopLayer","FP-CRCW1206-E3-IPC_A","53.5000","32.4380","360","RES Thick Film, 10O, 1%, 0.25W, 100ppm/°C, 1206"
"R2","CRCW12064R70FKEA","TopLayer","FP-CRCW1206-E3-IPC_A","53.5000","46.8180","180","RES Thick Film, 4.7O, 1%, 0.25W, 100ppm/°C, 1206"
