Removed Pin From Net: NetName=Rectifier Vin 1 Pin=P1-1
Removed Pin From Net: NetName=Power In 1 Pin=P1-2
Change Component Footprint: Designator=IC1 Old Footprint=7 PIN PFM New Footprint=7 PIN PFM
Change Component Footprint: Designator=LED1 Old Footprint=0805_A New Footprint=0805_A
Change Component Footprint: Designator=P1 Old Footprint=691313510002 New Footprint=691313510002
Change Component Footprint: Designator=IC7 Old Footprint=ADI-RJ-5_N New Footprint=ADI-RJ-5_N
Change Component Footprint: Designator=C3 Old Footprint=FP-C1206C-EB-MFG New Footprint=FP-C1206C-EB-MFG
Change Component Footprint: Designator=C5 Old Footprint=FP-C1206C-EB-MFG New Footprint=FP-C1206C-EB-MFG
Change Component Footprint: Designator=C7 Old Footprint=FP-C1206C-EB-MFG New Footprint=FP-C1206C-EB-MFG
Change Component Footprint: Designator=C9 Old Footprint=FP-C1206C-EB-MFG New Footprint=FP-C1206C-EB-MFG
Change Component Footprint: Designator=R1 Old Footprint=FP-CRCW0805-e3-MFG New Footprint=FP-CRCW0805-e3-MFG
Change Component Footprint: Designator=R2 Old Footprint=FP-CRCW0805-e3-MFG New Footprint=FP-CRCW0805-e3-MFG
Change Component Footprint: Designator=R3 Old Footprint=FP-CRCW0805-e3-MFG New Footprint=FP-CRCW0805-e3-MFG
Change Component Footprint: Designator=R4 Old Footprint=FP-CRCW0805-e3-MFG New Footprint=FP-CRCW0805-e3-MFG
Change Component Footprint: Designator=R7 Old Footprint=FP-CRCW0805-e3-MFG New Footprint=FP-CRCW0805-e3-MFG
Change Component Footprint: Designator=R8 Old Footprint=FP-CRCW0805-e3-MFG New Footprint=FP-CRCW0805-e3-MFG
Change Component Footprint: Designator=R11 Old Footprint=FP-CRCW0805-e3-MFG New Footprint=FP-CRCW0805-e3-MFG
Change Component Footprint: Designator=R14 Old Footprint=FP-CRCW0805-e3-MFG New Footprint=FP-CRCW0805-e3-MFG
Change Component Footprint: Designator=R15 Old Footprint=FP-CRCW0805-e3-MFG New Footprint=FP-CRCW0805-e3-MFG
Change Component Footprint: Designator=R16 Old Footprint=FP-CRCW0805-e3-MFG New Footprint=FP-CRCW0805-e3-MFG
Change Component Footprint: Designator=R23 Old Footprint=FP-CRCW0805-e3-MFG New Footprint=FP-CRCW0805-e3-MFG
Change Component Footprint: Designator=R28 Old Footprint=FP-CRCW0805-e3-MFG New Footprint=FP-CRCW0805-e3-MFG
Change Component Footprint: Designator=R29 Old Footprint=FP-CRCW0805-e3-MFG New Footprint=FP-CRCW0805-e3-MFG
Change Component Footprint: Designator=R30 Old Footprint=FP-CRCW0805-e3-MFG New Footprint=FP-CRCW0805-e3-MFG
Change Component Footprint: Designator=R31 Old Footprint=FP-CRCW0805-e3-MFG New Footprint=FP-CRCW0805-e3-MFG
Change Component Footprint: Designator=R33 Old Footprint=FP-CRCW0805-e3-MFG New Footprint=FP-CRCW0805-e3-MFG
Change Component Footprint: Designator=R34 Old Footprint=FP-CRCW0805-e3-MFG New Footprint=FP-CRCW0805-e3-MFG
Change Component Footprint: Designator=R35 Old Footprint=FP-CRCW0805-e3-MFG New Footprint=FP-CRCW0805-e3-MFG
Change Component Footprint: Designator=R5 Old Footprint=FP-CRCW1206-e3-IPC_A New Footprint=FP-CRCW1206-e3-IPC_A
Change Component Footprint: Designator=R6 Old Footprint=FP-CRCW1206-e3-IPC_A New Footprint=FP-CRCW1206-e3-IPC_A
Change Component Footprint: Designator=R17 Old Footprint=FP-CRCW1206-e3-IPC_A New Footprint=FP-CRCW1206-e3-IPC_A
Change Component Footprint: Designator=R18 Old Footprint=FP-CRCW1206-e3-IPC_A New Footprint=FP-CRCW1206-e3-IPC_A
Change Component Footprint: Designator=U1 Old Footprint=SOT23-3_N New Footprint=SOT23-3_N
Added Pin To Net: NetName=Power In 1 Pin=P1-1
Added Pin To Net: NetName=Rectifier Vin 1 Pin=P1-2
