Altium Designer Pick and Place Locations
C:\Users\Lingke\Desktop\Personal\Altium\WPT Round 2 RX\Project Outputs for WPT Round 2 RX\Pick Place\Pick Place for WPT Round 2 RX Layout.csv

========================================================================================================================
File Design Information:

Date:       23/04/21
Time:       20:42
Revision:   19398c31305313edbbee2cd6b643449009dc7671
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P1","System Input","TopLayer","691313510002","9.9857","33.7500","270","Serie 313 - 5.08mm Close Horizontal PCB Header WR-TBL, 2 pin"
"R37","300 Ohm / 25W","TopLayer","PWR163S253000FE","59.2472","38.4600","90","Resistor 300 Ohm / 25W"
"R26","15K","TopLayer","0805_Resistor","67.8495","14.5000","90","15K Ohm Resistor"
"P2","System Output","TopLayer","691313510002","75.0000","38.5000","90","Serie 313 - 5.08mm Close Horizontal PCB Header WR-TBL, 2 pin"
"C37","1000uF/50V","TopLayer","CAPPRD500W62D1300H2650","71.6000","73.0000","90","Capacitor 1000uF"
"C36","1000uF/50V","TopLayer","CAPPRD500W62D1300H2650","57.2957","73.0000","90","Capacitor 1000uF"
"C35","1000uF/50V","TopLayer","CAPPRD500W62D1300H2650","42.9915","72.9000","90","Capacitor 1000uF"
"C34","1000uF/50V","TopLayer","CAPPRD500W62D1300H2650","28.6872","72.9000","90","Capacitor 1000uF"
"M8","M3 Mounting Hole","TopLayer","M3_Hole","82.0000","77.0000","0",""
"M7","M3 Mounting Hole","TopLayer","M3_Hole","82.0000","3.0000","0",""
"M6","M3 Mounting Hole","TopLayer","M3_Hole","3.0000","3.0000","0",""
"M5","M3 Mounting Hole","TopLayer","M3_Hole","3.0000","77.0000","0",""
"R22","10k Ohm","TopLayer","0805_RESISTOR","27.0000","54.0000","90","RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805
10k Ohm"
"R21","10k Ohm","TopLayer","0805_RESISTOR","14.2000","13.8000","270","RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805
10k Ohm"
"R20","10k Ohm","TopLayer","0805_RESISTOR","25.0000","60.0000","180","RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805
10k Ohm"
"R19","10k Ohm","TopLayer","0805_RESISTOR","13.7000","7.2000","180","RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805
10k Ohm"
"R13","10k Ohm","TopLayer","0805_RESISTOR","17.3000","54.2000","270","RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805
10k Ohm"
"R12","10k Ohm","TopLayer","0805_RESISTOR","18.2000","13.0000","270","RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805
10k Ohm"
"R10","10k Ohm","TopLayer","0805_RESISTOR","14.0000","60.0000","180","RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805
10k Ohm"
"R9","10k Ohm","TopLayer","0805_RESISTOR","23.7000","7.1000","180","RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805
10k Ohm"
"L2","10A","TopLayer","WE-PF_1280","78.5000","58.5000","180","SMD EMI Suppression Power Ferrite WE-PF, Z = 2900 Ohm"
"U1","Shunt Voltage Reference Diode","TopLayer","SOT23-3_N","35.5000","14.0176","180","Shunt voltage reference, adjustable, 1.24 to 10V, 0.5% precision, 3-Pin SOT23-3L, Tape and Reel"
"TP13","TP","BottomLayer","Test_Point","60.5000","55.0000","90","Test Point 1mm by 1mm"
"TP12","TP","BottomLayer","Test_Point","69.0000","55.0000","90","Test Point 1mm by 1mm"
"TP11","TP","BottomLayer","Test_Point","40.5000","13.0000","180","Test Point 1mm by 1mm"
"TP10","TP","BottomLayer","Test_Point","40.5000","18.0000","90","Test Point 1mm by 1mm"
"TP9","TP","BottomLayer","Test_Point","33.7500","27.2500","180","Test Point 1mm by 1mm"
"TP8","TP","BottomLayer","Test_Point","27.2500","52.0000","180","Test Point 1mm by 1mm"
"TP7","TP","BottomLayer","Test_Point","27.0000","10.5000","180","Test Point 1mm by 1mm"
"TP6","TP","BottomLayer","Test_Point","27.0000","48.5000","180","Test Point 1mm by 1mm"
"TP5","TP","BottomLayer","Test_Point","10.7500","16.0000","180","Test Point 1mm by 1mm"
"TP4","TP","BottomLayer","Test_Point","23.5000","43.2500","180","Test Point 1mm by 1mm"
"TP3","TP","BottomLayer","Test_Point","13.8419","25.7463","180","Test Point 1mm by 1mm"
"TP2","TP","BottomLayer","Test_Point","15.5000","49.0000","180","Test Point 1mm by 1mm"
"TP1","TP","BottomLayer","Test_Point","18.7500","17.7500","180","Test Point 1mm by 1mm"
"RT1","Thermistor 10K","TopLayer","THRMC2012X95N","26.0000","19.0000","90","Thermistor 10Kohm B Parameter: 3950k"
"R36","0R005 5W","TopLayer","FC4L110R005FER","64.4000","60.0000","180","Resistor 0R005 5W"
"R35","10k Ohm","TopLayer","0805_RESISTOR","62.5000","12.1798","0","RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805
10k Ohm"
"R34","100R","TopLayer","FP-CRCW0805-e3-MFG","70.5000","14.5000","90","Resistor 100 Ohm"
"R33","6K8R","TopLayer","FP-CRCW0805-e3-MFG","62.5543","18.7043","360","Resistor 6.8K Ohm"
"R32","56K","TopLayer","0805_RESISTOR","73.7798","19.5000","270","56K Ohm Resistor"
"R31","1K","TopLayer","FP-CRCW0805-e3-MFG","59.0000","18.7043","180","Resistor 1k Ohm"
