Altium Designer Pick and Place Locations
C:\Users\Lingke\Desktop\Personal\Altium\WPT Round 2 TX\Project Outputs for WPT Round 2 TX\Pick Place\Pick Place for WPT Round 2 TX Layout.csv

========================================================================================================================
File Design Information:

Date:       23/04/21
Time:       20:56
Revision:   f379fe84d61c4787658f1fce38dd70ca4f1cf8ca
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P2","691313510002","TopLayer","691313510002","72.3043","47.0000","90","Serie 313 - 5.08mm Close Horizontal PCB Header WR-TBL, 2 pin"
"C47","10nF/50V","TopLayer","0805_Capacitor","9.4926","74.7127","90","10nF/50V"
"C46","1nF/50V","TopLayer","CAPC2012X90N","12.0000","75.5000","90","1nF/50V"
"R29","15K","TopLayer","0805_Resistor","44.0443","45.9457","90","15K Ohm Resistor"
"P1","691313510002","TopLayer","691313510002","10.2500","38.0000","270","Serie 313 - 5.08mm Close Horizontal PCB Header WR-TBL, 2 pin"
"C7","1000uF/50V","TopLayer","CAPPRD500W62D1300H2650","75.0000","19.5000","90","Capacitor 1000uF"
"C6","1000uF/50V","TopLayer","CAPPRD500W62D1300H2650","61.0000","20.0000","180","Capacitor 1000uF"
"C5","1000uF/50V","TopLayer","CAPPRD500W62D1300H2650","68.0000","7.0000","270","Capacitor 1000uF"
"C4","1000uF/50V","TopLayer","CAPPRD500W62D1300H2650","54.0000","7.0000","270","Capacitor 1000uF"
"M5","M3 Mounting Hole","TopLayer","M3_HOLE","3.0000","77.0000","0",""
"M8","M3 Mounting Hole","TopLayer","M3_HOLE","3.0000","3.0000","0",""
"M7","M3 Mounting Hole","TopLayer","M3_HOLE","78.5000","3.0000","0",""
"M6","M3 Mounting Hole","TopLayer","M3_HOLE","78.5000","77.0000","0",""
"U1","Shunt Voltage Reference Diode","TopLayer","SOT23-3_N","40.7500","70.0000","180","Shunt voltage reference, adjustable, 1.24 to 10V, 0.5% precision, 3-Pin SOT23-3L, Tape and Reel"
"TP15","TP","BottomLayer","Test_Point","39.2500","68.0000","90","Test Point 1mm by 1mm"
"TP14","TP","BottomLayer","Test_Point","29.0000","73.2500","90","Test Point 1mm by 1mm"
"TP13","TP","BottomLayer","Test_Point","49.2500","72.2500","90","Test Point 1mm by 1mm"
"TP12","TP","BottomLayer","Test_Point","35.0000","49.7500","90","Test Point 1mm by 1mm"
"TP11","TP","BottomLayer","Test_Point","24.0000","64.0000","180","Test Point 1mm by 1mm"
"TP10","TP","BottomLayer","Test_Point","46.7500","39.2500","90","Test Point 1mm by 1mm"
"TP9","TP","BottomLayer","Test_Point","46.6012","35.7500","180","Test Point 1mm by 1mm"
"TP8","TP","BottomLayer","Test_Point","54.5000","65.0000","180","Test Point 1mm by 1mm"
"TP7","TP","BottomLayer","Test_Point","60.2500","33.0000","180","Test Point 1mm by 1mm"
"TP6","TP","BottomLayer","Test_Point","61.5000","59.5000","180","Test Point 1mm by 1mm"
