Altium Designer Pick and Place Locations
C:\Users\Lingke\Desktop\Personal\Altium\WPT Round 2.1 RX\Project Outputs for WPT Round 2.1 RX\Pick Place\Pick Place for WPT Round 2.1 RX Layout.csv

========================================================================================================================
File Design Information:

Date:       04/12/21
Time:       00:42
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R1","1K0O","TopLayer","FP-CRCW0805-e3-MFG","50.7250","56.7500","0","Resistor 1K0 Ohm"
"P4","System Output","TopLayer","691404910002B","81.2500","38.8500","90","Serie 4049 B - 7.50mm Screwless Clamp Power Connector WR-TBL, 2 pin"
"P3","61300211121","TopLayer","61300211121","43.0000","61.0000","90","WR-PHD Pin Header, THT, pitch 2.54mm, Single Row, Vertical, 2p"
"P2","61300211121","TopLayer","61300211121","43.0000","54.7500","270","WR-PHD Pin Header, THT, pitch 2.54mm, Single Row, Vertical, 2p"
"P1","To Coil","TopLayer","691404910002B","3.1500","32.1500","270","Serie 4049 B - 7.50mm Screwless Clamp Power Connector WR-TBL, 2 pin"
"LED1","Green LED","TopLayer","0805_A","46.7500","55.7500","270","SMD mono-color Chip LED, WL-SMCW, Green"
"J2","61301011821","TopLayer","61301011821","50.0000","3.0000","180","WR-PHD Socket Header, THT, pitch 2.54mm, Single Row, Vertical, 10p"
"J1","61301011821","TopLayer","61301011821","50.0000","18.2400","180","WR-PHD Socket Header, THT, pitch 2.54mm, Single Row, Vertical, 10p"
"C33","10nF/50V","TopLayer","0805_Capacitor","42.2500","21.5000","0","10nF/50V"
"R37","300 Ohm / 25W","TopLayer","PWR163S253000FE","59.2472","38.4600","90","Resistor 300 Ohm / 25W"
"R26","15K","TopLayer","0805_Resistor","55.8495","23.5000","90","15K Ohm Resistor"
"C37","1000uF/50V","TopLayer","CAPPRD500W62D1300H2650","71.6000","73.0000","90","Capacitor 1000uF"
"C36","1000uF/50V","TopLayer","CAPPRD500W62D1300H2650","57.2957","73.0000","90","Capacitor 1000uF"
"C35","1000uF/50V","TopLayer","CAPPRD500W62D1300H2650","42.9915","72.9000","90","Capacitor 1000uF"
"C34","1000uF/50V","TopLayer","CAPPRD500W62D1300H2650","28.6872","72.9000","90","Capacitor 1000uF"
"M8","M3 Mounting Hole","TopLayer","M3_Hole","82.0000","77.0000","0",""
"M7","M3 Mounting Hole","TopLayer","M3_Hole","82.0000","3.0000","0",""
"M6","M3 Mounting Hole","TopLayer","M3_Hole","3.0000","3.0000","0",""
"M5","M3 Mounting Hole","TopLayer","M3_Hole","3.0000","77.0000","0",""
"R22","10k Ohm","TopLayer","0805_RESISTOR","27.0000","54.0000","90","RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805
10k Ohm"
"R21","10k Ohm","TopLayer","0805_RESISTOR","14.2000","13.8000","270","RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805
10k Ohm"
"R20","10k Ohm","TopLayer","0805_RESISTOR","25.0000","60.0000","180","RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805
10k Ohm"
