Removed Pin From Net: NetName=NetP4_1 Pin= -1
Removed Pin From Net: NetName=GND Pin= -2
Change Component Designator: OldDesignator=  NewDesignator=R28
Added Pin To Net: NetName=NetC13_1 Pin=M1-1
Added Pin To Net: NetName=NetC13_1 Pin=M1-2
Added Pin To Net: NetName=NetC12_1 Pin=M2-1
Added Pin To Net: NetName=NetC12_1 Pin=M2-2
Added Pin To Net: NetName=GND Pin=M3-1
Added Pin To Net: NetName=GND Pin=M3-2
Added Pin To Net: NetName=GND Pin=M4-1
Added Pin To Net: NetName=GND Pin=M4-2
Added Pin To Net: NetName=GND Pin=R28-1
Added Pin To Net: NetName=NetP4_1 Pin=R28-2
