Altium Designer Pick and Place Locations
C:\Users\Lingke\Desktop\Personal\Altium\WPT Round 3 RX\Project Outputs for WPT Round 3 RX\Pick Place\Pick Place for RX Layout.csv

========================================================================================================================
File Design Information:

Date:       02/01/22
Time:       19:22
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U1","Shunt Voltage Reference Diode","TopLayer","SOT23-3_N","42.0500","11.6958","270","Shunt voltage reference, adjustable, 1.24 to 10V, 0.5% precision, 3-Pin SOT23-3L, Tape and Reel"
"TP10","TP","BottomLayer","TEST_POINT","23.0000","56.0000","90","Test Point 1mm by 1mm"
"TP9","TP","BottomLayer","TEST_POINT","18.0000","6.5000","180","Test Point 1mm by 1mm"
"TP8","TP","BottomLayer","TEST_POINT","29.9000","45.5000","180","Test Point 1mm by 1mm"
"TP7","TP","BottomLayer","TEST_POINT","13.1000","15.6000","180","Test Point 1mm by 1mm"
"TP6","TP","BottomLayer","TEST_POINT","45.0000","11.2000","180","Test Point 1mm by 1mm"
"TP5","TP","BottomLayer","TEST_POINT","37.2000","13.6000","180","Test Point 1mm by 1mm"
"TP4","TP","BottomLayer","TEST_POINT","21.4000","42.0000","180","Test Point 1mm by 1mm"
"TP3","TP","BottomLayer","TEST_POINT","20.8000","19.1000","180","Test Point 1mm by 1mm"
"TP2","TP","BottomLayer","TEST_POINT","18.4000","45.3000","180","Test Point 1mm by 1mm"
"TP1","TP","BottomLayer","TEST_POINT","23.0000","15.8000","180","Test Point 1mm by 1mm"
"RT1","Thermistor 10K","TopLayer","THRMC2012X95N","30.8000","18.9000","90","Thermistor 10Kohm B Parameter: 3950k"
"R31","56K","TopLayer","0805_RESISTOR","83.3993","20.3000","0","56K Ohm Resistor"
"R30","200 Ohm / 25W","TopLayer","PWR163S253000FE","64.1458","38.0000","180","Resistor 200 Ohm / 25W"
